Game Date,Away Team,Home Team,Total_1to5_Runs
2025-03-27,Chicago Cubs,Arizona Diamondbacks,10.0
2025-03-27,Los Angeles Angels,Chicago White Sox,3.0
2025-03-27,San Francisco Giants,Cincinnati Reds,5.0
2025-03-27,New York Mets,Houston Astros,3.0
2025-03-27,Cleveland Guardians,Kansas City Royals,5.0
2025-03-27,Detroit Tigers,Los Angeles Dodgers,6.0
2025-03-27,Pittsburgh Pirates,Miami Marlins,3.0
2025-03-27,Milwaukee Brewers,New York Yankees,3.0
2025-03-27,Atlanta Braves,San Diego Padres,7.0
2025-03-27,Athletics,Seattle Mariners,1.0
2025-03-27,Minnesota Twins,St. Louis Cardinals,6.0
2025-03-27,Boston Red Sox,Texas Rangers,4.0
2025-03-27,Baltimore Orioles,Toronto Blue Jays,8.0
2025-03-27,Philadelphia Phillies,Washington Nationals,1.0
2025-03-28,Chicago Cubs,Arizona Diamondbacks,7.0
2025-03-28,New York Mets,Houston Astros,4.0
2025-03-28,Detroit Tigers,Los Angeles Dodgers,2.0
2025-03-28,Pittsburgh Pirates,Miami Marlins,5.0
2025-03-28,Atlanta Braves,San Diego Padres,6.0
2025-03-28,Athletics,Seattle Mariners,2.0
2025-03-28,Colorado Rockies,Tampa Bay Rays,2.0
2025-03-28,Boston Red Sox,Texas Rangers,3.0
2025-03-28,Baltimore Orioles,Toronto Blue Jays,7.0
2025-03-29,Chicago Cubs,Arizona Diamondbacks,4.0
2025-03-29,Los Angeles Angels,Chicago White Sox,0.0
2025-03-29,San Francisco Giants,Cincinnati Reds,4.0
2025-03-29,New York Mets,Houston Astros,1.0
2025-03-29,Cleveland Guardians,Kansas City Royals,4.0
2025-03-29,Detroit Tigers,Los Angeles Dodgers,6.0
2025-03-29,Pittsburgh Pirates,Miami Marlins,2.0
2025-03-29,Milwaukee Brewers,New York Yankees,22.0
2025-03-29,Atlanta Braves,San Diego Padres,0.0
2025-03-29,Athletics,Seattle Mariners,3.0
2025-03-29,Minnesota Twins,St. Louis Cardinals,2.0
2025-03-29,Colorado Rockies,Tampa Bay Rays,1.0
2025-03-29,Boston Red Sox,Texas Rangers,6.0
2025-03-29,Baltimore Orioles,Toronto Blue Jays,13.0
2025-03-29,Philadelphia Phillies,Washington Nationals,4.0
2025-03-30,Chicago Cubs,Arizona Diamondbacks,1.0
2025-03-30,Los Angeles Angels,Chicago White Sox,4.0
2025-03-30,San Francisco Giants,Cincinnati Reds,1.0
2025-03-30,Cleveland Guardians,Kansas City Royals,3.0
2025-03-30,Pittsburgh Pirates,Miami Marlins,3.0
2025-03-30,Milwaukee Brewers,New York Yankees,8.0
2025-03-30,Atlanta Braves,San Diego Padres,2.0
2025-03-30,Athletics,Seattle Mariners,1.0
2025-03-30,Minnesota Twins,St. Louis Cardinals,10.0
2025-03-30,Colorado Rockies,Tampa Bay Rays,3.0
2025-03-30,Boston Red Sox,Texas Rangers,1.0
2025-03-30,Baltimore Orioles,Toronto Blue Jays,3.0
2025-03-30,Philadelphia Phillies,Washington Nationals,3.0
2025-03-31,Chicago Cubs,Athletics,13.0
2025-03-31,Boston Red Sox,Baltimore Orioles,7.0
2025-03-31,Minnesota Twins,Chicago White Sox,9.0
2025-03-31,Texas Rangers,Cincinnati Reds,6.0
2025-03-31,San Francisco Giants,Houston Astros,2.0
2025-03-31,Atlanta Braves,Los Angeles Dodgers,5.0
2025-03-31,New York Mets,Miami Marlins,9.0
2025-03-31,Kansas City Royals,Milwaukee Brewers,4.0
2025-03-31,Colorado Rockies,Philadelphia Phillies,0.0
2025-03-31,Cleveland Guardians,San Diego Padres,9.0
2025-03-31,Detroit Tigers,Seattle Mariners,12.0
2025-03-31,Los Angeles Angels,St. Louis Cardinals,4.0
2025-03-31,Pittsburgh Pirates,Tampa Bay Rays,4.0
2025-03-31,Washington Nationals,Toronto Blue Jays,4.0
2025-04-01,Chicago Cubs,Athletics,10.0
2025-04-01,Minnesota Twins,Chicago White Sox,3.0
2025-04-01,Texas Rangers,Cincinnati Reds,1.0
2025-04-01,San Francisco Giants,Houston Astros,4.0
2025-04-01,Atlanta Braves,Los Angeles Dodgers,1.0
2025-04-01,New York Mets,Miami Marlins,6.0
2025-04-01,Kansas City Royals,Milwaukee Brewers,2.0
2025-04-01,Arizona Diamondbacks,New York Yankees,6.0
2025-04-01,Cleveland Guardians,San Diego Padres,3.0
2025-04-01,Detroit Tigers,Seattle Mariners,3.0
2025-04-01,Los Angeles Angels,St. Louis Cardinals,5.0
