Game Date,Away Team,Home Team,Away Record,Away Score,Home Record,Home Score,Away 1th,Home 1th,Away 2th,Home 2th,Away 3th,Home 3th,Away 4th,Home 4th,Away 5th,Home 5th,Away 6th,Home 6th,Away 7th,Home 7th,Away 8th,Home 8th,Away 9th,Home 9th,YRFI
2025-03-27,Chicago Cubs,Arizona Diamondbacks,1-2,10.0,0-1,6.0,0,1,3,1,0,0,1,1,3,0,1,2,0,0,0,0,2,1,1.0
2025-03-27,Los Angeles Angels,Chicago White Sox,0-1,1.0,1-0,8.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.0
2025-03-27,San Francisco Giants,Cincinnati Reds,1-0,6.0,0-1,4.0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,1.0
2025-03-27,New York Mets,Houston Astros,0-1,1.0,1-0,3.0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0
2025-03-27,Cleveland Guardians,Kansas City Royals,1-0,7.0,0-1,4.0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,1,0.0
2025-03-27,Detroit Tigers,Los Angeles Dodgers,0-1,4.0,3-0,5.0,0,0,0,1,0,0,1,0,1,3,0,0,1,1,1,0,0,0,0.0
2025-03-27,Pittsburgh Pirates,Miami Marlins,0-1,4.0,1-0,5.0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,2,0,1,0.0
2025-03-27,Milwaukee Brewers,New York Yankees,0-1,2.0,1-0,4.0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1.0
2025-03-27,Atlanta Braves,San Diego Padres,0-1,4.0,1-0,7.0,1,2,0,0,2,1,1,0,0,0,0,0,0,4,0,0,0,0,1.0
2025-03-27,Athletics,Seattle Mariners,0-1,2.0,1-0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0.0
2025-03-27,Minnesota Twins,St. Louis Cardinals,0-1,3.0,1-0,5.0,0,1,0,2,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1.0
2025-03-27,Boston Red Sox,Texas Rangers,1-0,5.0,0-1,2.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0.0
2025-03-27,Baltimore Orioles,Toronto Blue Jays,1-0,12.0,0-1,2.0,1,0,1,0,3,0,1,2,0,0,0,0,3,0,3,0,0,0,1.0
2025-03-27,Philadelphia Phillies,Washington Nationals,1-0,7.0,0-1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0.0
2025-03-28,Chicago Cubs,Arizona Diamondbacks,1-3,1.0,1-1,8.0,0,0,1,2,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0.0
2025-03-28,New York Mets,Houston Astros,1-1,3.0,1-1,1.0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
2025-03-28,Detroit Tigers,Los Angeles Dodgers,0-2,5.0,4-0,8.0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0.0
2025-03-28,Pittsburgh Pirates,Miami Marlins,1-1,4.0,1-1,3.0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0.0
2025-03-28,Atlanta Braves,San Diego Padres,0-2,3.0,2-0,4.0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0
2025-03-28,Athletics,Seattle Mariners,1-1,7.0,1-1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,0,0.0
2025-03-28,Colorado Rockies,Tampa Bay Rays,0-1,2.0,1-0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0.0
2025-03-28,Boston Red Sox,Texas Rangers,1-1,1.0,1-1,4.0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0.0
2025-03-28,Baltimore Orioles,Toronto Blue Jays,1-1,2.0,1-1,8.0,0,0,0,0,1,0,1,5,0,0,0,1,0,2,0,0,0,0,0.0
2025-03-29,Chicago Cubs,Arizona Diamondbacks,2-3,4.0,1-2,3.0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0.0
2025-03-29,Los Angeles Angels,Chicago White Sox,1-1,1.0,1-1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2025-03-29,San Francisco Giants,Cincinnati Reds,1-1,2.0,1-1,3.0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0
2025-03-29,New York Mets,Houston Astros,1-2,1.0,2-1,2.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0
2025-03-29,Cleveland Guardians,Kansas City Royals,1-1,3.0,1-1,4.0,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0.0
2025-03-29,Detroit Tigers,Los Angeles Dodgers,0-3,3.0,5-0,7.0,2,1,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0,0,1.0
2025-03-29,Pittsburgh Pirates,Miami Marlins,1-2,4.0,2-1,5.0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.0
2025-03-29,Milwaukee Brewers,New York Yankees,0-2,9.0,2-0,20.0,0,4,3,3,0,6,1,3,2,0,0,2,0,2,1,0,2,0,1.0
2025-03-29,Atlanta Braves,San Diego Padres,0-3,0.0,3-0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2025-03-29,Athletics,Seattle Mariners,2-1,4.0,1-2,2.0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0.0
2025-03-29,Minnesota Twins,St. Louis Cardinals,0-2,1.0,2-0,5.0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1.0
2025-03-29,Colorado Rockies,Tampa Bay Rays,1-1,2.0,1-1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
2025-03-29,Boston Red Sox,Texas Rangers,1-2,3.0,2-1,4.0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1.0
2025-03-29,Baltimore Orioles,Toronto Blue Jays,2-1,9.0,1-2,5.0,2,2,0,0,0,2,4,0,2,1,0,0,1,0,0,0,0,0,1.0
2025-03-29,Philadelphia Phillies,Washington Nationals,2-0,11.0,0-2,6.0,0,0,0,2,0,0,2,0,0,0,5,1,3,0,1,2,0,1,0.0
2025-03-30,Chicago Cubs,Arizona Diamondbacks,2-4,6.0,2-2,10.0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,3,8,0,0,0.0
2025-03-30,Los Angeles Angels,Chicago White Sox,2-1,3.0,1-2,2.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
2025-03-30,San Francisco Giants,Cincinnati Reds,2-1,6.0,1-2,3.0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,2,0,0,0,0.0
2025-03-30,Cleveland Guardians,Kansas City Royals,2-1,6.0,1-2,2.0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,2,0,0,0.0
2025-03-30,Pittsburgh Pirates,Miami Marlins,1-3,2.0,3-1,3.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0
2025-03-30,Milwaukee Brewers,New York Yankees,0-3,3.0,3-0,12.0,1,2,0,1,0,2,2,0,0,0,0,2,0,5,0,0,0,0,1.0
2025-03-30,Atlanta Braves,San Diego Padres,0-4,0.0,4-0,5.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1.0
2025-03-30,Athletics,Seattle Mariners,2-2,1.0,2-2,2.0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.0
