Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",518,1932,1755,395,236,75,6,78,222,215,134,6,523,23,14,4,30,24,8,0.225071225
2025,"BAL",521,2005,1808,431,287,78,7,59,210,198,155,3,484,25,16,2,42,35,14,0.238384955
2025,"BOS",545,2223,1987,513,323,110,8,72,288,277,198,11,506,23,11,4,28,53,13,0.258178158
2025,"CHW",574,1955,1753,385,263,76,2,44,183,178,170,1,454,11,13,5,30,45,8,0.219623502
2025,"CLE",544,1944,1726,398,263,75,5,55,211,199,167,6,421,21,22,8,29,38,13,0.230590961
2025,"DET",583,2095,1863,471,314,86,7,64,281,268,187,5,481,24,16,4,33,20,5,0.252818035
2025,"KCR",554,2026,1843,453,314,95,11,33,183,180,131,8,388,20,19,12,24,44,19,0.245794899
2025,"MIN",536,1951,1758,418,277,84,7,50,212,203,148,4,432,32,11,1,34,28,11,0.237770193
2025,"NYY",536,2071,1803,471,276,99,10,86,301,289,215,13,466,26,23,1,33,37,11,0.261231281
2025,"ATH",541,2061,1861,477,316,87,7,67,231,222,173,5,412,10,11,3,53,27,7,0.256313809
2025,"SEA",559,2015,1762,418,279,66,3,70,238,230,206,3,469,28,11,8,30,49,15,0.237230419
2025,"TBR",546,1960,1771,434,302,78,3,51,219,212,159,0,436,12,16,0,36,71,14,0.245059288
2025,"TEX",548,1954,1778,395,266,67,5,57,183,179,140,2,438,19,14,2,27,47,13,0.22215973
2025,"TOR",537,2001,1774,436,301,87,2,46,207,198,177,9,381,19,17,12,40,32,9,0.245772266
2025,"ARI",553,2090,1834,470,277,108,10,75,272,265,199,7,402,25,23,8,37,47,11,0.256270447
2025,"ATL",518,1971,1765,437,301,74,6,56,216,207,174,4,439,16,11,5,34,33,9,0.247592067
2025,"CHC",540,2133,1889,496,302,103,13,78,324,316,205,6,429,14,19,6,22,65,11,0.262572789
2025,"CIN",541,2081,1855,459,299,98,7,55,255,244,191,4,492,20,12,3,30,54,18,0.247439353
2025,"COL",551,1968,1783,391,247,84,15,45,173,171,152,5,530,16,10,7,35,26,11,0.219293325
2025,"MIA",532,1975,1779,443,302,85,8,48,213,204,161,5,435,13,12,10,30,46,18,0.249016301
2025,"HOU",506,1970,1761,447,319,73,6,49,214,203,161,6,405,26,14,8,44,24,13,0.253833049
2025,"LAD",548,2091,1839,483,300,90,9,84,301,290,209,10,445,20,19,3,42,37,11,0.26264274
2025,"MIL",564,2058,1820,423,300,72,5,46,235,214,190,7,451,22,12,13,26,71,17,0.232417582
2025,"WSN",514,1954,1754,422,278,84,8,52,225,212,153,1,418,25,12,10,29,52,17,0.24059293
2025,"NYM",548,2043,1787,438,279,92,12,55,233,224,198,12,412,33,21,3,47,42,8,0.245103525
2025,"PHI",525,2055,1822,475,325,84,8,58,260,246,197,6,416,17,15,4,34,51,10,0.260702524
2025,"PIT",552,2043,1815,405,295,64,9,37,164,159,192,10,473,20,9,5,51,53,13,0.223140495
2025,"STL",530,2053,1828,474,322,101,2,49,256,242,176,9,411,26,17,6,42,35,11,0.259299781
2025,"SDP",544,1933,1733,435,303,76,7,49,217,198,160,6,371,13,14,12,34,39,11,0.251009809
2025,"SFG",527,2005,1780,411,269,80,8,54,238,227,190,4,455,15,12,8,32,26,12,0.230898876
