Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2025,"LAA",568,2114,1922,432,262,81,6,83,235,227,147,6,572,24,14,5,33,24,9,0.224765868
2025,"BAL",568,2180,1970,471,313,88,8,62,227,213,165,3,524,26,18,2,43,44,14,0.239086294
2025,"BOS",596,2415,2165,552,353,116,8,75,302,290,210,12,569,24,11,5,28,54,13,0.254965357
2025,"CHW",625,2152,1925,425,288,87,3,47,201,194,190,1,499,12,14,7,31,46,10,0.22077922
2025,"CLE",593,2132,1890,443,295,81,6,61,235,222,188,9,461,23,23,8,34,41,14,0.234391534
2025,"DET",631,2269,2023,503,334,92,9,68,296,282,198,5,540,26,16,4,36,21,5,0.248640632
2025,"KCR",603,2201,2003,494,348,100,12,34,194,191,142,9,419,21,21,13,27,47,22,0.246630054
2025,"MIN",587,2153,1940,463,309,91,7,56,233,223,160,4,476,38,13,1,37,31,12,0.238659793
2025,"NYY",588,2268,1971,511,299,107,10,95,319,306,240,16,512,29,24,1,36,42,13,0.259259259
2025,"ATH",604,2281,2060,527,349,97,7,74,253,244,190,5,482,12,12,4,60,32,8,0.255825242
2025,"SEA",620,2242,1973,467,314,71,3,79,263,254,218,4,520,31,11,9,33,54,18,0.236695387
2025,"TBR",605,2187,1971,485,329,93,3,60,256,247,180,1,493,16,17,1,40,82,17,0.246067985
2025,"TEX",597,2127,1932,431,294,71,6,60,204,199,155,3,484,20,16,3,30,55,14,0.223084886
2025,"TOR",599,2244,1983,504,342,102,2,58,248,238,205,11,413,21,19,13,44,35,9,0.254160363
2025,"ARI",601,2276,2003,509,301,116,12,80,296,289,212,7,439,29,23,8,40,50,11,0.254118821
2025,"ATL",579,2201,1968,485,335,82,6,62,236,227,199,4,496,17,11,6,36,35,11,0.246443089
2025,"CHC",589,2313,2050,536,329,113,14,80,341,333,222,8,464,16,19,6,29,76,14,0.261463414
2025,"CIN",590,2258,2016,493,323,101,7,62,273,261,206,5,532,20,13,3,35,55,19,0.24454365
2025,"COL",601,2141,1944,418,267,86,15,50,184,182,160,5,577,19,11,7,39,28,13,0.215020576
2025,"MIA",585,2161,1941,481,330,92,8,51,232,222,180,5,475,15,13,12,34,46,19,0.247810407
2025,"HOU",571,2182,1959,497,352,80,6,59,239,228,172,6,449,28,15,8,48,29,13,0.253700867
2025,"LAD",599,2288,2019,542,334,102,9,97,343,330,225,12,483,20,20,3,46,38,12,0.268449727
2025,"MIL",615,2273,2012,482,338,86,5,53,274,251,208,8,489,25,13,14,28,81,19,0.239562624
2025,"WSN",568,2197,1969,480,310,100,10,60,265,252,174,2,463,31,13,10,35,55,19,0.243778567
2025,"NYM",600,2224,1948,480,301,99,13,67,260,251,213,12,455,37,22,3,52,45,8,0.24640657
2025,"PHI",587,2274,2016,517,353,92,9,63,281,267,217,6,463,21,15,5,36,56,11,0.256448412
2025,"PIT",599,2243,1997,454,326,75,10,43,194,188,208,10,524,22,9,5,55,58,13,0.227341011
2025,"STL",581,2242,1999,515,350,109,4,52,273,259,192,9,457,27,18,6,45,35,12,0.257628814
2025,"SDP",594,2110,1887,470,326,84,7,53,242,222,178,6,392,13,17,14,37,42,11,0.249072602
2025,"SFG",574,2192,1948,454,302,86,9,57,248,237,204,4,501,18,12,9,39,34,13,0.233059548
